_excel_row_number,id,clinic_type,feature_code,feature_name,feature_name_vi,description,is_default_enabled,display_order
36,d790a356-a075-46ba-8962-445b9bc5fc6b,COMPREHENSIVE_CLINIC,doctor_schedule,Doctor Schedule,Lịch làm việc bác sĩ,,t,3
37,94260044-9ed4-40d0-960f-b28ca31a3013,COMPREHENSIVE_CLINIC,prescription,Prescription,Kê đơn thuốc,,t,4
38,25ef6812-569d-41c8-9050-94380365c2e2,COMPREHENSIVE_CLINIC,outpatient_billing,Outpatient Billing,Thanh toán ngoại trú,,t,5
39,acd01969-d83f-44a3-acc0-f3523e564506,COMPREHENSIVE_CLINIC,appointment_booking,Appointment Booking,Đặt lịch hẹn,,t,6
40,aa3c6456-4b27-4b02-bb7b-0eb4b33b0632,COMPREHENSIVE_CLINIC,medical_records,Medical Records,Hồ sơ bệnh án,,t,7
41,b5223053-07d9-41fb-bcae-13a6d108260e,COMPREHENSIVE_CLINIC,ai_assistant,AI Assistant,Trợ lý AI,,t,8
42,0be87f88-b8aa-4ccd-bf9b-831ea7463d14,COMPREHENSIVE_CLINIC,admission_management,Admission Management,Quản lý nhập viện,,t,10
43,6bf6633a-8260-4e48-b8d7-a5c8efa23cec,COMPREHENSIVE_CLINIC,bed_management,Bed Management,Quản lý giường/phòng,,t,11
44,974b6be3-3eb9-4678-8041-4e7c18d3e6e6,COMPREHENSIVE_CLINIC,inpatient_orders,Inpatient Orders,Y lệnh nội trú,,t,12
45,79008865-b497-4527-9892-c7d2eb45c0aa,COMPREHENSIVE_CLINIC,nursing_notes,Nursing Notes,Ghi chép điều dưỡng,,t,13
46,8d00f38d-f3cc-4020-9b9e-c24b3ca6ffdc,COMPREHENSIVE_CLINIC,inpatient_billing,Inpatient Billing,Thanh toán nội trú,,t,14
47,fd955aa2-bded-4de3-95a5-a3015165b0bf,COMPREHENSIVE_CLINIC,ward_management,Ward Management,Quản lý khoa phòng,,t,15
