_excel_row_number,id,tier_name,min_appointments,max_appointments,unit_price_vnd,effective_from,effective_to,is_active,description,created_at,updated_at
2,13d26318-2caf-4e92-861b-b46aa1684b5f,tier_1,0,100,15000,2026-01-21,,t,"Dưới 100 lượt: 15,000 VND/lượt",2026-01-21 05:23:08.344211+00,2026-01-21 05:23:08.344211+00
3,aa996223-7127-4f1a-ba2a-d2638a1b54e9,tier_2,101,500,12000,2026-01-21,,t,"101-500 lượt: 12,000 VND/lượt",2026-01-21 05:23:08.344211+00,2026-01-21 05:23:08.344211+00
4,723232de-b9c5-42e9-99db-b42ac008d2aa,tier_3,501,1000,10000,2026-01-21,,t,"501-1000 lượt: 10,000 VND/lượt",2026-01-21 05:23:08.344211+00,2026-01-21 05:23:08.344211+00
5,0de7a05a-2940-47f9-8030-b3cbef45363d,tier_4,1001,,8000,2026-01-21,,t,"Trên 1000 lượt: 8,000 VND/lượt",2026-01-21 05:23:08.344211+00,2026-01-21 05:23:08.344211+00
