_excel_row_number,id,clinic_id,plan_id,status,started_at,expires_at,cancelled_at,ai_calls_used_this_month,ai_calls_reset_at,payment_reference,created_at,updated_at,created_by,updated_by
2,74129776-1316-401c-95c3-9c22d6cbff0c,d5ac6269-d8cf-4821-ac8b-a6341e68987b,1e4290d9-0d0e-4822-966a-7b6220fb3b75,active,2026-01-27 07:15:56.561706+00,,,0,2026-02-01 00:00:00+00,,2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00,,
3,c5f84b7b-da72-4828-ab37-710f2659eaf7,e137130e-ce05-403d-aa63-d4d63e03699d,1e4290d9-0d0e-4822-966a-7b6220fb3b75,active,2026-03-02 09:09:07.127544+00,,,0,2026-04-01 00:00:00+00,,2026-03-02 09:09:07.127544+00,2026-03-02 09:09:07.127544+00,,
4,b72d6457-5845-4f0d-abf0-0ad7e52d8296,99efa33e-8a21-4b1f-a5ac-92f920e69179,1e4290d9-0d0e-4822-966a-7b6220fb3b75,active,2026-03-04 04:32:58.863404+00,,,0,2026-04-01 00:00:00+00,,2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00,,
5,1d2808a9-33a2-4f63-8f49-046d744c305e,640f49d1-dcef-4fdf-9fa2-420308e3e776,1e4290d9-0d0e-4822-966a-7b6220fb3b75,active,2026-03-12 08:44:06.433148+00,,,0,2026-04-01 00:00:00+00,,2026-03-12 08:44:06.433148+00,2026-03-12 08:44:06.433148+00,,
6,356ba061-5465-4278-8362-0a7246bd6574,53b21ef0-6d31-49e7-af24-fb259a4cc25d,1e4290d9-0d0e-4822-966a-7b6220fb3b75,active,2026-03-12 09:20:25.437778+00,,,0,2026-04-01 00:00:00+00,,2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00,,
7,3d0ddeb0-a044-40ce-9ec0-7ee9cc568b0a,9c3f8505-e173-4742-a684-baeae1e63e11,1e4290d9-0d0e-4822-966a-7b6220fb3b75,active,2026-03-12 17:43:55.312269+00,,,0,2026-04-01 00:00:00+00,,2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00,,
8,9879f8aa-d34d-4929-b520-11206862812e,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,1e4290d9-0d0e-4822-966a-7b6220fb3b75,active,2026-03-14 04:37:09.018726+00,,,0,2026-04-01 00:00:00+00,,2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00,,
