_excel_row_number,id,clinic_id,feature_code,is_enabled,config,created_at,updated_at
28,f029ccf5-31a5-4861-aa64-b265f37c6d7c,99efa33e-8a21-4b1f-a5ac-92f920e69179,lab_workflow,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
29,ed44c70e-6b62-4c83-befa-2dcff95c9031,99efa33e-8a21-4b1f-a5ac-92f920e69179,result_upload,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
30,d808c0b6-7313-42eb-934e-827e16f7229c,99efa33e-8a21-4b1f-a5ac-92f920e69179,result_delivery,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
31,7779ed6f-b944-4f77-b4a3-0669f329dd83,99efa33e-8a21-4b1f-a5ac-92f920e69179,external_orders,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
32,ef6be136-e63e-4af4-b796-f0db01a00982,99efa33e-8a21-4b1f-a5ac-92f920e69179,pacs_integration,f,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
33,db06dad3-8ddb-448f-b76a-fdacfb00500d,99efa33e-8a21-4b1f-a5ac-92f920e69179,lis_integration,f,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
34,1c65025e-f104-4587-9705-62cc4af55f69,99efa33e-8a21-4b1f-a5ac-92f920e69179,diagnostic_billing,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
35,31974102-3604-46aa-9348-39186eb4a08e,53b21ef0-6d31-49e7-af24-fb259a4cc25d,admission_management,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
36,11921500-eab4-4c44-801f-bd42822af373,53b21ef0-6d31-49e7-af24-fb259a4cc25d,ai_assistant,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
37,604a4eb9-83c2-466f-a35b-bb8199933ddd,53b21ef0-6d31-49e7-af24-fb259a4cc25d,appointment_booking,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
