_excel_row_number,id,clinic_id,currency_code,effective_from,units_per_default_unit,created_at,created_by
2,593d28ff-010a-4817-9c74-cfd63ac84a03,d5ac6269-d8cf-4821-ac8b-a6341e68987b,KHR,2016-03-26 04:09:18.262983+00,4100.00000000,2026-03-26 04:09:18.262983+00,
3,03897735-1059-473d-930c-23345405c3e2,d5ac6269-d8cf-4821-ac8b-a6341e68987b,KHR,2016-03-26 04:28:12.00484+00,4100.00000000,2026-03-26 04:28:12.00484+00,
4,eff2d54f-bcfd-4f51-a5ad-268677770afc,d5ac6269-d8cf-4821-ac8b-a6341e68987b,KHR,2016-03-26 04:28:18.725289+00,4100.00000000,2026-03-26 04:28:18.725289+00,
