_excel_row_number,id,user_id,is_active,created_at,created_by,updated_at,deactivated_at,deactivated_reason
2,a10ef80f-01c4-4230-8a35-3be8b3bb4c0d,1c2593a7-1aad-457a-b536-9d568f49dd96,t,2026-01-21 04:59:25.213033+00,,2026-01-21 04:59:25.213033+00,,
3,b7a2d3da-063c-43cd-8878-a52ced59d3e5,6b9bdb5b-a56a-496c-90d9-3330f5a44120,f,2026-03-14 02:48:13.218291+00,,2026-03-14 02:48:16.387087+00,2026-03-14 02:48:14.95+00,
4,e496cb9a-62bc-4afe-9740-925e1778bacc,3d965e54-bae9-43c1-8689-f53f7d5a921f,t,2026-03-14 03:03:26.96401+00,,2026-03-14 03:03:26.96401+00,,
5,66a81fb0-8d2b-4de4-88ec-ea8beed8f541,73b5d951-4eea-4c2c-b23d-46f66f61eb67,t,2026-03-14 03:04:11.105101+00,,2026-03-14 03:04:11.105101+00,,
6,2079e654-baec-4f56-bd86-980ae213a761,0a2ec4fa-9db6-4cac-8e24-39af7d9f0c3e,t,2026-03-14 03:04:25.682725+00,,2026-03-14 03:04:25.682725+00,,
7,22b399ff-0223-4f03-8cd2-7597702d1d5e,3105f7cb-1e03-4634-8f1b-c6356f382784,t,2026-03-14 03:09:09.961585+00,,2026-03-14 03:09:09.961585+00,,
8,d8a996e6-fe53-4e9a-bc9e-86f8ab05d5e2,ea1355c7-7d62-4b98-848d-04641c9132b9,t,2026-03-14 03:09:44.582347+00,,2026-03-14 03:09:44.582347+00,,
