_excel_row_number,id,clinic_id,room_code,room_name,room_type,floor,capacity,is_active,display_order,created_at,updated_at,created_by,updated_by
2,e890e202-d566-4d55-89a8-79163606a136,d5ac6269-d8cf-4821-ac8b-a6341e68987b,P101,Phòng khám nội 1,consultation,Tẩng 1,2,t,0,2026-01-27 17:24:31.724332+00,2026-01-27 17:24:31.724332+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,
3,446b0be5-a797-4369-a29e-9b81e18608de,d5ac6269-d8cf-4821-ac8b-a6341e68987b,P102,Phòng khám nội 1,consultation,Tẩng 1,2,t,0,2026-01-27 17:24:41.062026+00,2026-01-27 17:24:41.062026+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,
4,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,d5ac6269-d8cf-4821-ac8b-a6341e68987b,P201,Phòng khám ngoại 1,consultation,Tẩng 2,2,t,0,2026-01-27 17:24:59.839262+00,2026-01-27 17:24:59.839262+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,
5,3ad8d048-7d5b-4a2e-8959-7193a27765e7,d5ac6269-d8cf-4821-ac8b-a6341e68987b,P202,Phòng khám ngoại 2,consultation,Tẩng 2,2,t,0,2026-01-27 17:25:14.36423+00,2026-01-27 17:25:14.36423+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,
6,3d94bad4-ae13-4273-98c3-636107985f15,99efa33e-8a21-4b1f-a5ac-92f920e69179,R101,Consultant,consultation,1,1,t,0,2026-03-14 04:54:38.128029+00,2026-03-14 04:54:38.128029+00,1c2593a7-1aad-457a-b536-9d568f49dd96,
7,306abfeb-3e7d-4cf6-be0a-99680944b0e8,99efa33e-8a21-4b1f-a5ac-92f920e69179,R102,Blood check,consultation,1,2,t,0,2026-03-14 04:55:13.002492+00,2026-03-14 04:55:13.002492+00,1c2593a7-1aad-457a-b536-9d568f49dd96,
